N, V, Time (ms)
100000, 2, 8.22433
100000, 4, 9.25929
100000, 8, 7.05046
100000, 16, 8.79521
100000, 32, 6.28063
100000, 64, 7.39787
100000, 128, 6.67277
100000, 256, 8.35332
