N, V, Time (ms)
1000000, 2, 66.7805
1000000, 4, 72.9746
1000000, 8, 73.8853
1000000, 16, 70.4041
1000000, 32, 68.6806
1000000, 64, 65.5858
1000000, 128, 67.7038
1000000, 256, 67.466
