N, V, Time (ms)
1000, 2, 0.060011
1000, 4, 0.065379
1000, 8, 0.064068
1000, 16, 0.083536
1000, 32, 0.091901
1000, 64, 0.08542
1000, 128, 0.076975
1000, 256, 0.06638
