N, V, Time (ms)
10000, 2, 0.925824
10000, 4, 0.914362
10000, 8, 0.997755
10000, 16, 1.07017
10000, 32, 0.606867
10000, 64, 0.789847
10000, 128, 0.829209
10000, 256, 0.599254
